Skill,Level,SFIA_Skill_Level,Level_Description,Level_Description_cosine,Level_Description_jaccard,skills_skillner,skills_skillner_qe,skills_skillner_keybert,skills_skillner_qe_keybert,rake_skills,yake_skills,skills_skillner_rake,skills_skillner_yake,skills_skillner_count,skills_skillner_qe_count,skills_skillner_keybert_count,skills_skillner_qe_keybert_count,skills_skillner_rake_count,skills_skillner_yake_count
Information security,7,Information security 7,"Directs the development, implementation, delivery and support of an enterprise information security strategy aligned with the business strategy. _x000D_
Ensures compliance between business strategies and information security. _x000D_
Leads the provision of information security expertise, guidance and systems needed to execute strategic and operational plans._x000D_
Secures organisational resources to execute the information security strategy.",directs development implementation delivery support enterprise information security strategy aligned business strategy _xd_ ensures compliance business strategies information security _xd_ leads provision information security expertise guidance systems needed execute strategic operational plans_xd_ secures organisational resources execute information security strategy,"directs the development, implementation, delivery and support of an enterprise information security strategy aligned with the business strategy. xd ensures compliance between business strategies and information security. xd leads the provision of information security expertise, guidance and systems needed to execute strategic and operational plans. xd secures organisational resources to execute the information security strategy.","['business strategy', 'aligned business', 'security strategy', 'xd', 'resources', 'execute', 'information security', 'enterprise information', 'operational', 'guidance system']","['business strategy', 'accomplish', 'fulfil', 'xd', 'aligned business', 'security strategy', 'carry through', 'resource', 'operating', 'information security', 'perform', 'operational', 'action', 'guidance system', 'operable', 'carry out', 'functional', 'do', 'imagination', 'resources', 'execute', 'fulfill', 'usable', 'put to death', 'enterprise information', 'resourcefulness', 'run', 'useable', 'in operation']","['business security strategy', 'information security enterprise', 'information operational guidance', 'strategy xd', 'xd resources execute']","['business security strategy', 'strategy carry resource', 'perform operational', 'xd aligned business', 'imagination resources execute']","['enterprise information security strategy aligned', 'xd secures organisational resources', 'information security strategy', 'information security expertise', 'xd ensures compliance', 'information security', 'business strategy', 'xd leads', 'systems needed', 'operational plans', 'business strategies', 'execute strategic', 'execute', 'support', 'provision', 'implementation', 'guidance', 'directs', 'development', 'delivery']","['directs the development', 'information security', 'security strategy aligned', 'implementation', 'delivery', 'support', 'guidance and systems', 'resources']","['business strategy', 'aligned business', 'guidance', 'xd secures organisational resources', 'information security strategy', 'systems needed', 'delivery', 'information security expertise', 'guidance system', 'development', 'xd leads', 'support', 'provision', 'enterprise information', 'enterprise information security strategy aligned', 'business strategies', 'xd', 'security strategy', 'directs', 'information security', 'operational', 'execute strategic', 'implementation', 'operational plans', 'resources', 'execute', 'xd ensures compliance']","['business strategy', 'directs the development', 'xd', 'aligned business', 'security strategy', 'support', 'resources', 'execute', 'security strategy aligned', 'information security', 'delivery', 'enterprise information', 'operational', 'guidance system', 'guidance and systems', 'implementation']",10,29,5,5,27,16
Information assurance,2,Information assurance 2,"Assists with information assurance activities under routine supervision._x000D_
Helps perform basic risk assessments and supports the implementation of information assurance measures._x000D_
Assists in maintaining records and documentation related to information assurance.",assists information assurance activities routine supervision_xd_ helps perform basic risk assessments supports implementation information assurance measures_xd_ assists maintaining records documentation related information assurance,assists with information assurance activities under routine supervision. xd helps perform basic risk assessments and supports the implementation of information assurance measures. xd assists in maintaining records and documentation related to information assurance.,"['risk assessments', 'activities', 'information assurance', 'maintaining']","['activities', 'information assurance', 'defend', 'activity', 'preserve', 'hold', 'keep up', 'natural process', 'action', 'natural action', 'sustain', 'conserve', 'bodily process', 'keep', 'exert', 'observe', 'wield', 'activeness', 'assert', 'bodily function', 'uphold', 'maintaining', 'asseverate', 'risk assessments', 'body process', 'maintain']","['risk assessments activities', 'activities information assurance', 'information assurance maintaining', 'assessments activities information', 'information']","['assurance defend activity', 'activities information', 'activeness assert bodily', 'body process maintain', 'wield']","['xd helps perform basic risk assessments', 'information assurance measures', 'information assurance activities', 'xd assists', 'information assurance', 'routine supervision', 'maintaining records', 'documentation related', 'assists', 'supports', 'implementation']","['routine supervision', 'information assurance', 'assists', 'perform', 'maintaining records', 'related']","['activities', 'information assurance activities', 'assists', 'information assurance', 'xd assists', 'supports', 'documentation related', 'maintaining records', 'maintaining', 'risk assessments', 'xd helps perform basic risk assessments', 'routine supervision', 'implementation', 'information assurance measures']","['activities', 'assists', 'information assurance', 'maintaining records', 'maintaining', 'risk assessments', 'perform', 'related', 'routine supervision']",4,26,5,5,14,9
Information assurance,3,Information assurance 3,"Follows standard approaches for the technical assessment of information systems against information assurance policies and business objectives. _x000D_
Makes routine accreditation decisions. Recognises decisions that are beyond their scope and responsibility level and escalates according._x000D_
Reviews and performs risk assessments and risk treatment plans. Identifies typical risk indicators and explains prevention measures._x000D_
Maintains integrity of records to support and justify decisions.",follows standard approaches technical assessment information systems information assurance policies business objectives _xd_ makes routine accreditation decisions recognises decisions beyond scope responsibility level escalates according_xd_ reviews performs risk assessments risk treatment plans identifies typical risk indicators explains prevention measures_xd_ maintains integrity records support justify decisions,follows standard approaches for the technical assessment of information systems against information assurance policies and business objectives. xd makes routine accreditation decisions. recognises decisions that are beyond their scope and responsibility level and escalates according. xd reviews and performs risk assessments and risk treatment plans. identifies typical risk indicators and explains prevention measures. xd maintains integrity of records to support and justify decisions.,"['information assurance', 'xd', 'integrity', 'information system', 'risk indicators', 'treatment plans', 'level', 'risk assessments risk', 'maintains', 'reviews performs', 'decisions']","['raze', 'information assurance', 'defend', 'decisiveness', 'spirit level', 'unity', 'risk indicators', 'tier', 'floor', 'keep up', 'risk assessments risk', 'determination', 'conclusion', 'level off', 'flush', 'dismantle', 'charge', 'plane', 'exert', 'degree', 'wield', 'uphold', 'asseverate', 'treatment plans', 'level', 'stratum', 'grade', 'conserve', 'even', 'layer', 'story', 'xd', 'pull down', 'storey', 'decision', 'stage', 'preserve', 'integrity', 'hold', 'horizontal surface', 'rase', 'tear down', 'unwavering', 'sustain', 'reviews performs', 'keep', 'observe', 'assert', 'tied', 'point', 'information system', 'flat', 'wholeness', 'maintains', 'take down', 'maintain', 'even out', 'decisions']","['risk maintains reviews', 'information assurance xd', 'information risk indicators', 'level risk assessments', 'treatment plans level']","['raze information assurance', 'unity risk indicators', 'tier floor risk', 'maintains maintain decisions', 'defend decisiveness spirit']","['xd makes routine accreditation decisions', 'identifies typical risk indicators', 'xd maintains integrity', 'risk treatment plans', 'performs risk assessments', 'follows standard approaches', 'explains prevention measures', 'information assurance policies', 'xd reviews', 'recognises decisions', 'justify decisions', 'information systems', 'technical assessment', 'responsibility level', 'escalates according', 'business objectives', 'support', 'scope', 'records', 'beyond']","['information assurance policies', 'systems against information', 'technical assessment', 'objectives', 'risk', 'standard', 'approaches', 'scope']","['follows standard approaches', 'information assurance', 'responsibility level', 'scope', 'beyond', 'xd maintains integrity', 'risk indicators', 'risk assessments risk', 'justify decisions', 'recognises decisions', 'support', 'xd reviews', 'risk treatment plans', 'treatment plans', 'level', 'performs risk assessments', 'xd makes routine accreditation decisions', 'information systems', 'identifies typical risk indicators', 'xd', 'business objectives', 'integrity', 'technical assessment', 'information assurance policies', 'reviews performs', 'records', 'information system', 'escalates according', 'maintains', 'explains prevention measures', 'decisions']","['information assurance', 'scope', 'risk indicators', 'risk assessments risk', 'systems against information', 'treatment plans', 'level', 'xd', 'integrity', 'technical assessment', 'standard', 'risk', 'information assurance policies', 'reviews performs', 'objectives', 'information system', 'maintains', 'approaches', 'decisions']",11,58,5,5,31,19
Information assurance,4,Information assurance 4,"Performs technical assessments and/or accreditation of complex or higher-risk information systems. _x000D_
Identifies risk mitigation measures required in addition to the standard organisation or domain measures. _x000D_
Establishes the requirement for accreditation evidence from delivery partners and communicates accreditation requirements to stakeholders.  _x000D_
Contributes to planning and organisation of information assurance and accreditation activities. Contributes to development of and implementation of information assurance processes.",performs technical assessments andor accreditation complex higherrisk information systems _xd_ identifies risk mitigation measures required addition standard organisation domain measures _xd_ establishes requirement accreditation evidence delivery partners communicates accreditation requirements stakeholders _xd_ contributes planning organisation information assurance accreditation activities contributes development implementation information assurance processes,performs technical assessments and or accreditation of complex or higher risk information systems. xd identifies risk mitigation measures required in addition to the standard organisation or domain measures. xd establishes the requirement for accreditation evidence from delivery partners and communicates accreditation requirements to stakeholders. xd contributes to planning and organisation of information assurance and accreditation activities. contributes to development of and implementation of information assurance processes.,"['activities', 'information assurance', 'xd', 'communicates', 'addition', 'risk mitigation', 'information system', 'requirements stakeholders', 'planning']","['activities', 'information assurance', 'pass', 'gain', 'action', 'natural action', 'convey', 'planning', 'commune', 'improver', 'bodily process', 'plus', 'pass along', 'summation', 'provision', 'increase', 'be after', 'xd', 'activity', 'project', 'transmit', 'communicates', 'addition', 'risk mitigation', 'add-on', 'natural process', 'accession', 'intercommunicate', 'preparation', 'design', 'activeness', 'communicate', 'bodily function', 'contrive', 'information system', 'body process', 'requirements stakeholders', 'put across', 'pass on', 'plan']","['activities information assurance', 'mitigation information requirements', 'requirements stakeholders planning', 'xd communicates addition', 'risk']","['activities information assurance', 'requirements stakeholders pass', 'convey planning', 'commune improver bodily', 'transmit communicates addition']","['xd identifies risk mitigation measures required', 'higher risk information systems', 'performs technical assessments', 'information assurance processes', 'communicates accreditation requirements', 'domain measures', 'information assurance', 'xd establishes', 'xd contributes', 'delivery partners', 'accreditation evidence', 'accreditation activities', 'standard organisation', 'accreditation', 'organisation', 'contributes', 'stakeholders', 'requirement', 'planning', 'implementation', 'development', 'complex', 'addition']","['performs technical assessments', 'complex or higher', 'higher risk information', 'systems', 'risk', 'mitigation measures required', 'assurance', 'delivery', 'planning']","['domain measures', 'activities', 'information assurance', 'organisation', 'accreditation', 'higher risk information systems', 'planning', 'communicates accreditation requirements', 'development', 'accreditation evidence', 'performs technical assessments', 'xd identifies risk mitigation measures required', 'contributes', 'stakeholders', 'complex', 'xd establishes', 'xd', 'requirement', 'communicates', 'delivery partners', 'addition', 'risk mitigation', 'implementation', 'xd contributes', 'accreditation activities', 'information assurance processes', 'information system', 'requirements stakeholders', 'standard organisation']","['activities', 'systems', 'information assurance', 'xd', 'performs technical assessments', 'mitigation measures required', 'assurance', 'communicates', 'addition', 'risk mitigation', 'information system', 'delivery', 'requirements stakeholders', 'planning', 'risk', 'higher risk information', 'complex or higher']",9,40,5,5,29,17
Information assurance,5,Information assurance 5,"Interprets information assurance and security policies and applies these to manage risks. _x000D_
Provides advice and guidance to ensure adoption of and adherence to information assurance architectures, strategies, policies, standards and guidelines. _x000D_
Plans, organises and conducts information assurance and accreditation of complex domains areas, cross-functional areas and across the supply chain. _x000D_
Contributes to the development of policies, standards and guidelines.",interprets information assurance security policies applies manage risks _xd_ provides advice guidance ensure adoption adherence information assurance architectures strategies policies standards guidelines _xd_ plans organises conducts information assurance accreditation complex domains areas crossfunctional areas across supply chain _xd_ contributes development policies standards guidelines,"interprets information assurance and security policies and applies these to manage risks. xd provides advice and guidance to ensure adoption of and adherence to information assurance architectures, strategies, policies, standards and guidelines. xd plans, organises and conducts information assurance and accreditation of complex domains areas, cross functional areas and across the supply chain. xd contributes to the development of policies, standards and guidelines.","['information assurance', 'xd', 'supply chain', 'manage risks', 'security policy', 'plans', 'development policies', 'adoption']","['be after', 'information assurance', 'programme', 'xd', 'project', 'supply chain', 'security policy', 'acceptance', 'plans', 'adoption', 'acceptation', 'design', 'contrive', 'espousal', 'manage risks', 'architectural plan', 'program', 'development policies', 'borrowing', 'plan']","['risks security policy', 'information assurance xd', 'xd supply chain', 'chain manage risks', 'development policies adoption']","['assurance programme', 'risks architectural plan', 'plans adoption acceptation', 'development policies borrowing', 'design contrive espousal']","['interprets information assurance', 'information assurance architectures', 'cross functional areas', 'conducts information assurance', 'complex domains areas', 'xd provides advice', 'xd plans', 'xd contributes', 'supply chain', 'manage risks', 'ensure adoption', 'security policies', 'policies', 'policies', 'strategies', 'standards', 'standards', 'organises', 'guidelines', 'guidelines', 'guidance', 'development', 'applies', 'adherence', 'across', 'accreditation']","['interprets information assurance', 'manage risks', 'policies', 'security', 'guidance', 'adoption', 'development']","['standards', 'information assurance', 'organises', 'guidance', 'accreditation', 'supply chain', 'complex domains areas', 'across', 'security policy', 'plans', 'policies', 'ensure adoption', 'adherence', 'interprets information assurance', 'development', 'xd provides advice', 'information assurance architectures', 'xd', 'applies', 'conducts information assurance', 'adoption', 'xd contributes', 'strategies', 'xd plans', 'cross functional areas', 'guidelines', 'manage risks', 'development policies', 'security policies']","['security', 'development', 'information assurance', 'xd', 'guidance', 'supply chain', 'manage risks', 'security policy', 'plans', 'policies', 'development policies', 'interprets information assurance', 'adoption']",8,20,5,5,29,13
Information assurance,6,Information assurance 6,"Develops information assurance policy, standards and guidelines. _x000D_
Contributes to the development of organisational strategies that address the evolving business risk and information control requirements. _x000D_
Drives adoption of and adherence to policies and standards. Ensures architectural principles are followed, requirements are defined and rigorous security testing is applied. Ensures accreditation processes support and enable organisational objectives._x000D_
Monitors environmental and market trends and assesses any impact on organisational strategies, benefits and risks.",develops information assurance policy standards guidelines _xd_ contributes development organisational strategies address evolving business risk information control requirements _xd_ drives adoption adherence policies standards ensures architectural principles followed requirements defined rigorous security testing applied ensures accreditation processes support enable organisational objectives_xd_ monitors environmental market trends assesses impact organisational strategies benefits risks,"develops information assurance policy, standards and guidelines. xd contributes to the development of organisational strategies that address the evolving business risk and information control requirements. xd drives adoption of and adherence to policies and standards. ensures architectural principles are followed, requirements are defined and rigorous security testing is applied. ensures accreditation processes support and enable organisational objectives. xd monitors environmental and market trends and assesses any impact on organisational strategies, benefits and risks.","['information assurance', 'xd', 'assesses impact', 'business information', 'market trend', 'security testing', 'monitors environmental', 'adoption']","['information assurance', 'xd', 'assesses impact', 'espousal', 'business information', 'borrowing', 'acceptance', 'market trend', 'security testing', 'acceptation', 'monitors environmental', 'adoption']","['information assurance xd', 'monitors environmental adoption', 'trend security testing', 'information market trend', 'assesses impact business']","['information assurance xd', 'monitors environmental adoption', 'borrowing acceptance market', 'impact espousal business', 'trend security testing']","['ensures accreditation processes support', 'develops information assurance policy', 'ensures architectural principles', 'rigorous security testing', 'evolving business risk', 'xd monitors environmental', 'xd drives adoption', 'information control requirements', 'enable organisational objectives', 'xd contributes', 'organisational strategies', 'organisational strategies', 'market trends', 'requirements', 'standards', 'standards', 'risks', 'policies', 'impact', 'guidelines', 'followed', 'development', 'defined', 'benefits', 'assesses', 'applied', 'adherence', 'address']","['develops information assurance', 'assurance policy', 'guidelines', 'standards', 'contributes', 'evolving', 'rigorous security', 'risk', 'market', 'impact']","['standards', 'information assurance', 'enable organisational objectives', 'rigorous security testing', 'followed', 'benefits', 'policies', 'adherence', 'requirements', 'development', 'market trends', 'impact', 'defined', 'ensures accreditation processes support', 'information control requirements', 'risks', 'assesses', 'xd monitors environmental', 'organisational strategies', 'xd', 'xd drives adoption', 'assesses impact', 'security testing', 'ensures architectural principles', 'adoption', 'applied', 'xd contributes', 'develops information assurance policy', 'guidelines', 'business information', 'market trend', 'evolving business risk', 'monitors environmental', 'address']","['develops information assurance', 'standards', 'information assurance', 'xd', 'contributes', 'risk', 'assurance policy', 'assesses impact', 'guidelines', 'impact', 'business information', 'rigorous security', 'market trend', 'market', 'security testing', 'evolving', 'monitors environmental', 'adoption']",8,12,5,5,34,18
Information assurance,7,Information assurance 7,"Directs the creation and review of an enterprise information assurance strategy to support the strategic requirements of the business._x000D_
Ensures compliance between business strategies and information assurance by setting strategies, policies, standards and practices. _x000D_
Leads the provision of information assurance expertise, advice and guidance across all of the organisation's information and information systems.",directs creation review enterprise information assurance strategy support strategic requirements business_xd_ ensures compliance business strategies information assurance setting strategies policies standards practices _xd_ leads provision information assurance expertise advice guidance across organisations information information systems,"directs the creation and review of an enterprise information assurance strategy to support the strategic requirements of the business. xd ensures compliance between business strategies and information assurance by setting strategies, policies, standards and practices. xd leads the provision of information assurance expertise, advice and guidance across all of the organisation's information and information systems.","['business strategy', 'information assurance', 'xd', 'information system', 'standards practices']","['business strategy', 'information assurance', 'xd', 'information system', 'standards practices']","['strategy information assurance', 'xd information standards', 'information standards practices', 'information assurance xd', 'practices']","['strategy information assurance', 'xd information standards', 'information standards practices', 'information assurance xd', 'practices']","['enterprise information assurance strategy', 'xd ensures compliance', 'information assurance expertise', 'information assurance', 'xd leads', 'information systems', 'strategic requirements', 'setting strategies', 'guidance across', 'business strategies', 'information', 'business', 'support', 'standards', 'review', 'provision', 'practices', 'policies', 'organisation', 'directs', 'creation', 'advice']","['enterprise information assurance', 'support the strategic', 'directs', 'review', 'compliance between business', 'standards']","['business strategy', 'guidance across', 'standards', 'information assurance', 'xd', 'organisation', 'business', 'directs', 'policies', 'practices', 'information assurance expertise', 'xd leads', 'support', 'enterprise information assurance strategy', 'information', 'provision', 'creation', 'information system', 'review', 'strategic requirements', 'setting strategies', 'xd ensures compliance', 'business strategies', 'information systems', 'standards practices', 'advice']","['business strategy', 'standards', 'information assurance', 'xd', 'directs', 'enterprise information assurance', 'compliance between business', 'information system', 'review', 'support the strategic', 'standards practices']",5,5,5,5,26,11
Information and data compliance,4,Information and data compliance 4,"Supports the implementation of policy, standards and guidelines related to information and data legislation and compliance requirements._x000D_
Monitors the implementation of effective controls for internal delegation, audit and control relating to information management._x000D_
Reports on the consolidated status of information controls to inform effective decision-making._x000D_
Identifies risks around the use of information  and data that is subject to specific legislation. Recommends remediation actions as required.",supports implementation policy standards guidelines related information data legislation compliance requirements_xd_ monitors implementation effective controls internal delegation audit control relating information management_xd_ reports consolidated status information controls inform effective decisionmaking_xd_ identifies risks around use information data subject specific legislation recommends remediation actions required,"supports the implementation of policy, standards and guidelines related to information and data legislation and compliance requirements. xd monitors the implementation of effective controls for internal delegation, audit and control relating to information management. xd reports on the consolidated status of information controls to inform effective decision making. xd identifies risks around the use of information and data that is subject to specific legislation. recommends remediation actions as required.","['control', 'audit', 'information controls', 'remediation actions', 'reports consolidated', 'legislation', 'controls internal']","['see to it', 'control', 'curb', 'master', 'remediation actions', 'reports consolidated', 'controller', 'manipulate', 'inspect', 'ascendence', 'audited account', 'controls internal', 'mastery', 'lawmaking', 'operate', 'control condition', 'ensure', 'command', 'assure', 'restraint', 'statute law', 'verify', 'scrutinise', 'keep in line', 'insure', 'ascendancy', 'scrutinize', 'see', 'legislating', 'ascendance', 'hold', 'moderate', 'check', 'information controls', 'audit', 'ascendency', 'hold in', 'dominance', 'legislation', 'contain', 'ascertain']","['audit information controls', 'legislation controls internal', 'reports consolidated legislation', 'remediation actions', 'internal']","['mastery lawmaking operate', 'controls audit ascendency', 'controller manipulate inspect', 'restraint', 'actions reports consolidated']","['inform effective decision making', 'xd identifies risks around', 'recommends remediation actions', 'effective controls', 'xd reports', 'xd monitors', 'specific legislation', 'internal delegation', 'guidelines related', 'control relating', 'consolidated status', 'compliance requirements', 'information management', 'information controls', 'data legislation', 'information', 'information', 'data', 'use', 'supports', 'subject', 'standards', 'required', 'policy', 'implementation', 'implementation', 'audit']","['standards and guidelines', 'implementation of policy', 'monitors the implementation', 'supports', 'related', 'effective', 'controls', 'making', 'risks']","['control', 'guidelines related', 'data legislation', 'standards', 'recommends remediation actions', 'remediation actions', 'xd reports', 'reports consolidated', 'policy', 'data', 'required', 'consolidated status', 'effective controls', 'xd monitors', 'supports', 'implementation', 'controls internal', 'use', 'xd identifies risks around', 'information controls', 'audit', 'specific legislation', 'information', 'control relating', 'information management', 'legislation', 'subject', 'internal delegation', 'inform effective decision making', 'compliance requirements']","['effective', 'control', 'remediation actions', 'making', 'reports consolidated', 'controls', 'related', 'implementation of policy', 'supports', 'controls internal', 'information controls', 'audit', 'standards and guidelines', 'legislation', 'risks', 'monitors the implementation']",7,41,5,5,30,16
Information and data compliance,5,Information and data compliance 5,"Contributes to policies, standards and guidelines for information and data compliance. _x000D_
Provides authoritative advice on implementing compliance controls in products, services and systems. _x000D_
Investigates breaches and recommends control improvements.  Maintains an inventory of legislated data, conducts risk assessments and specifies necessary changes. _x000D_
Ensures formal requests and complaints are handled following procedures. Prepares and submits reports to relevant authorities, ensuring all compliance requirements are met.",contributes policies standards guidelines information data compliance _xd_ provides authoritative advice implementing compliance controls products services systems _xd_ investigates breaches recommends control improvements maintains inventory legislated data conducts risk assessments specifies necessary changes _xd_ ensures formal requests complaints handled following procedures prepares submits reports relevant authorities ensuring compliance requirements met,"contributes to policies, standards and guidelines for information and data compliance. xd provides authoritative advice on implementing compliance controls in products, services and systems. xd investigates breaches and recommends control improvements. maintains an inventory of legislated data, conducts risk assessments and specifies necessary changes. xd ensures formal requests and complaints are handled following procedures. prepares and submits reports to relevant authorities, ensuring all compliance requirements are met.","['control', 'legislated', 'xd', 'controls systems', 'investigates', 'risk assessments', 'services systems', 'compliance requirement', 'maintains', 'controls services']","['see to it', 'control', 'curb', 'legislated', 'master', 'pass', 'defend', 'controller', 'keep up', 'manipulate', 'services systems', 'ascendence', 'mastery', 'operate', 'control condition', 'exert', 'ensure', 'enquire', 'wield', 'command', 'uphold', 'asseverate', 'assure', 'restraint', 'compliance requirement', 'verify', 'conserve', 'keep in line', 'xd', 'insure', 'controls systems', 'ascendancy', 'legislate', 'investigate', 'see', 'inquire', 'investigates', 'ascendance', 'preserve', 'hold', 'moderate', 'check', 'look into', 'sustain', 'controls services', 'keep', 'observe', 'ascendency', 'assert', 'hold in', 'dominance', 'risk assessments', 'maintains', 'maintain', 'contain', 'ascertain']","['controls services', 'requirement maintains controls', 'systems investigates risk', 'compliance requirement maintains', 'legislated xd']","['mastery operate control', 'look sustain controls', 'assure restraint compliance', 'pass defend controller', 'investigates ascendance preserve']","['xd provides authoritative advice', 'xd ensures formal requests', 'xd investigates breaches', 'specifies necessary changes', 'recommends control improvements', 'handled following procedures', 'conducts risk assessments', 'implementing compliance controls', 'data compliance', 'compliance requirements', 'submits reports', 'relevant authorities', 'legislated data', 'systems', 'standards', 'services', 'products', 'prepares', 'policies', 'met', 'maintains', 'inventory', 'information', 'guidelines', 'ensuring', 'contributes', 'complaints']","['contributes to policies', 'standards', 'information and data', 'advice on implementing', 'recommends control', 'met', 'legislated', 'risk']","['control', 'standards', 'legislated', 'submits reports', 'legislated data', 'handled following procedures', 'inventory', 'policies', 'services systems', 'xd investigates breaches', 'contributes', 'information', 'products', 'compliance requirement', 'implementing compliance controls', 'relevant authorities', 'compliance requirements', 'specifies necessary changes', 'xd', 'recommends control improvements', 'controls systems', 'met', 'complaints', 'investigates', 'ensuring', 'xd provides authoritative advice', 'controls services', 'systems', 'data compliance', 'prepares', 'conducts risk assessments', 'maintains', 'services', 'guidelines', 'risk assessments', 'xd ensures formal requests']","['control', 'standards', 'information and data', 'legislated', 'xd', 'controls systems', 'contributes to policies', 'met', 'recommends control', 'investigates', 'advice on implementing', 'risk assessments', 'services systems', 'compliance requirement', 'maintains', 'risk', 'controls services']",10,56,5,5,36,17
Information and data compliance,6,Information and data compliance 6,"Develops strategies for compliance with information and data legislation. _x000D_
Ensures that the policy and standards for compliance with information and data legislation are fit for purpose, current and correctly implemented. _x000D_
Acts as the organisation's contact for the regulatory authorities. _x000D_
Operates as a focus for information and data legislation for the organisation, working with specialists to provide authoritative advice and guidance.",develops strategies compliance information data legislation _xd_ ensures policy standards compliance information data legislation fit purpose current correctly implemented _xd_ acts organisations contact regulatory authorities _xd_ operates focus information data legislation organisation working specialists provide authoritative advice guidance,"develops strategies for compliance with information and data legislation. xd ensures that the policy and standards for compliance with information and data legislation are fit for purpose, current and correctly implemented. xd acts as the organisation's contact for the regulatory authorities. xd operates as a focus for information and data legislation for the organisation, working with specialists to provide authoritative advice and guidance.","['legislation', 'operates', 'xd', 'acts']","['control', 'bit', 'deed', 'human action', 'act', 'acts', 'play', 'mesh', 'operates', 'enactment', 'lawmaking', 'go', 'operate', 'manoeuvre', 'operate on', 'roleplay', 'playact', 'human activity', 'run', 'statute law', 'act as', 'acts of the apostles', 'move', 'function', 'behave', 'xd', 'manoeuver', 'turn', 'represent', 'pretend', 'legislating', 'maneuver', 'dissemble', 'lock', 'do', 'engage', 'routine', 'work', 'legislation', 'number']","['legislation operates xd', 'operates xd acts', 'legislation', 'acts', 'xd']","['act acts', 'operate manoeuvre operate', 'control bit deed', 'mesh operates enactment', 'apostles function behave']","['provide authoritative advice', 'xd operates', 'xd ensures', 'xd acts', 'regulatory authorities', 'develops strategies', 'data legislation', 'data legislation', 'data legislation', 'correctly implemented', 'working', 'standards', 'specialists', 'purpose', 'policy', 'organisation', 'organisation', 'information', 'information', 'information', 'guidance', 'focus', 'fit', 'current', 'contact', 'compliance', 'compliance']","['information and data', 'data legislation', 'develops', 'fit for purpose', 'current and correctly', 'implemented', 'policy', 'fit']","['xd ensures', 'standards', 'develops strategies', 'organisation', 'guidance', 'compliance', 'acts', 'operates', 'contact', 'focus', 'provide authoritative advice', 'information', 'purpose', 'correctly implemented', 'data legislation', 'xd', 'policy', 'xd acts', 'fit', 'regulatory authorities', 'xd operates', 'specialists', 'legislation', 'working', 'current']","['develops', 'data legislation', 'current and correctly', 'information and data', 'xd', 'implemented', 'fit for purpose', 'acts', 'policy', 'legislation', 'fit', 'operates']",4,40,5,5,25,12
Vulnerability research,2,Vulnerability research 2,"Assists with vulnerability research tasks under routine supervision._x000D_
Helps document and report findings from vulnerability research activities.",assists vulnerability research tasks routine supervision_xd_ helps document report findings vulnerability research activities,assists with vulnerability research tasks under routine supervision. xd helps document and report findings from vulnerability research activities.,"['activities', 'vulnerability', 'research']","['activities', 'exposure', 'enquiry', 'activity', 'activeness', 'bodily function', 'inquiry', 'body process', 'natural process', 'action', 'research', 'natural action', 'vulnerability', 'explore', 'search', 'bodily process']","['activities vulnerability research', 'activities vulnerability', 'vulnerability research', 'activities', 'research']","['activity activeness bodily', 'research natural action', 'exposure enquiry', 'inquiry body process', 'vulnerability explore']","['xd helps document', 'vulnerability research tasks', 'vulnerability research activities', 'routine supervision', 'report findings', 'assists']","['routine supervision', 'vulnerability research tasks', 'tasks under routine', 'report findings', 'document']","['activities', 'assists', 'vulnerability research tasks', 'xd helps document', 'report findings', 'vulnerability research activities', 'research', 'routine supervision', 'vulnerability']","['tasks under routine', 'activities', 'vulnerability research tasks', 'document', 'report findings', 'research', 'routine supervision', 'vulnerability']",3,16,5,5,9,8
Vulnerability research,3,Vulnerability research 3,"Applies standard techniques and tools for vulnerability research. _x000D_
Uses available resources to update knowledge of relevant specialism. _x000D_
Participates in research communities. _x000D_
Analyses and reports on activities and results.",applies standard techniques tools vulnerability research _xd_ uses available resources update knowledge relevant specialism _xd_ participates research communities _xd_ analyses reports activities results,applies standard techniques and tools for vulnerability research. xd uses available resources to update knowledge of relevant specialism. xd participates in research communities. xd analyses and reports on activities and results.,"['xd', 'resources', 'research', 'vulnerability', 'tools', 'reports activities']","['enquiry', 'exposure', 'instrument', 'tool', 'putz', 'xd', 'tool around', 'creature', 'prick', 'resource', 'search', 'peter', 'explore', 'shaft', 'dick', 'imagination', 'puppet', 'resources', 'inquiry', 'pecker', 'resourcefulness', 'joyride', 'research', 'cock', 'vulnerability', 'tools', 'reports activities']","['vulnerability tools reports', 'xd resources', 'resources research vulnerability', 'reports activities', 'tools']","['cock vulnerability tools', 'enquiry exposure instrument', 'prick resource search', 'tools reports activities', 'puppet resources inquiry']","['xd uses available resources', 'applies standard techniques', 'xd participates', 'xd analyses', 'vulnerability research', 'update knowledge', 'research communities', 'relevant specialism', 'tools', 'results', 'reports', 'activities']","['applies standard techniques', 'tools for vulnerability', 'vulnerability research', 'resources to update', 'specialism']","['xd uses available resources', 'reports', 'activities', 'xd', 'update knowledge', 'xd analyses', 'results', 'research communities', 'applies standard techniques', 'relevant specialism', 'resources', 'research', 'vulnerability research', 'vulnerability', 'tools', 'reports activities', 'xd participates']","['resources to update', 'xd', 'applies standard techniques', 'specialism', 'tools for vulnerability', 'resources', 'research', 'vulnerability research', 'vulnerability', 'tools', 'reports activities']",6,27,5,5,17,11
